Byttneria ramosissima
Byttneria scabra
Corchorus argutus
Corchorus hirtus
Helicteres guazumifolia
Hibiscus bifurcatus
Hibiscus cisplatinus
Hibiscus dimidiatus
Hibiscus diversifolius
Hibiscus furcellatus
Hibiscus sororius
Hibiscus striatus
Malachra radiata
Melochia arenosa
Melochia graminifolia
Melochia hirsuta
Melochia simplex
Melochia spicata
Monteiroa ptarmicifolia
Pavonia angustifolia
Pavonia cancellata
Pavonia grandiflora
Pavonia laetevirens
Pavonia sessiliflora
Sida acuta
Sida anomala
Sida galheirensis
Sida rhombifolia
Sida setosa
Sida spinosa
Sidastrum multiflorum
Triumfetta althaeoides
Urena lobata
Waltheria americana
Waltheria indica
Calathea capitata
Calathea comosa
Calathea lanata
Calathea loeseneri
Calathea micans
Ischnosiphon polyphyllus
Thalia multiflora
Thalia geniculata
Mayaca fluviatilis
Mayaca kunthii
Mayaca longipes
Mayaca sellowiana
Aciotis acuminifolia
Aciotis ornata
Acisanthera alsinaefolia
Acisanthera divaricarta
Acisanthera fluitans
Acisanthera limnobios
Acisanthera variabilis
Cambessedesia hilariana
Clidemia capitellata
Clidemia hirta
Comolia villosa
Desmoscelis villosa
Lavoisiera umbricata
Leandra multiplinervis
Maicarea radula
Miconia chamissois
Microlepis oleifolia
Microlicia myrtoidea
Pterolepis glomerata
Pterolepis repanda
Rhynchanthera cordata
Rhynchanthera dichotoma
Rhynchanthera grandiflora
Rhynchanthera hispida
Rhynchanthera novemnervia
Rhynchanthera serrulata
Rhynchanthera verbenoides
Tibouchina aspera
Tibouchina asperior
Tibouchina cerastifolia
Tibouchina cisplatensis
Tibouchina gracilis
Tibouchina herbacea
Tibouchina sebastianopolitana
Tibouchina semidecandra
Tibouchina trichopoda
Tibouchina urceolaris
Cissampelos andromorpha
Cissampelos glaberrima
Odontocarya arifolia
Odontocarya tamoides
Nymphoides grayana
Nymphoides humboldtiana
Nymphoides indica
Glinus radiatus
Mollugo verticillata
Psidium acutangulum
Psidium cattleianum
Nymphaea alba
Nymphaea amazonum
Nymphaea ampla
Nymphaea belophylla
Nymphaea caerulea
Nymphaea capensis
Nymphaea gardneriana
Nymphaea jamesoniana
Nymphaea lasiophylla
Nymphaea lingulata
Nymphaea lotus
Nymphaea mexicana
Nymphaea odorata
